bout_idx,start_frame,end_frame,n_frames,duration_s,min_cycles,total_distance_mm,net_displacement_mm,mean_speed_mm_s,max_speed_mm_s,scut_z_mean,scut_z_std,scut_z_min,scut_z_max,height_speed_pearson_r,height_speed_pearson_p,height_speed_spearman_r,height_speed_spearman_p
1,17839,19870,2032,2.54,18,29.208170184868266,19.08358783760593,11.504944985066038,63.65587408184673,1.9611770239401989,0.06861893010740326,1.7090188980102539,2.15015640258789,0.1598069212096474,4.295429229039081e-13,0.14915299497491835,1.407152259698399e-11
2,29358,31000,1643,2.05375,9,23.658644313354344,19.253966275236937,11.525333467146822,37.941889024351234,1.866502961166298,0.05122514052451662,1.744266891479492,1.9858871459960938,0.10488302683535962,2.045734464488391e-05,0.09830300701532824,6.572722203754226e-05
3,35303,36388,1086,1.3575,6,13.782670292440429,11.63407538935154,10.159713718026163,29.652754783184193,1.8308109123623393,0.10215790300206512,1.5309253692626952,2.044622802734375,0.011978666532720866,0.6933516812735334,-0.04264338752127495,0.16022579633446135
4,39582,40975,1394,1.7425,12,21.213476840407573,19.732653387462104,12.183045099989444,33.85481445597448,1.8641945617270779,0.0501055270838996,1.686703872680664,1.9561851501464844,0.15070857478616898,1.5659437366075194e-08,0.1667183230848942,3.7777786953516677e-10
5,47697,48509,813,1.01625,4,13.901948048550302,12.622391593377245,13.682656134608525,38.41033279432117,1.8713657644255426,0.04340566349112844,1.7353261947631835,1.961861801147461,0.38861160429384056,1.0542864365891855e-30,0.4230757564912609,1.2192482206472595e-36
6,50866,53025,2160,2.7,11,23.407860761224242,19.31665701659755,8.670154787086572,39.12915710934771,1.8631275450741802,0.07758828218142441,1.6258136749267578,2.118568420410156,0.2539195908641086,3.944504125237933e-33,0.23294639105577702,5.246940378985496e-28
7,63138,64619,1482,1.8525,12,21.411144303890445,19.34253995956402,11.5614247638611,39.05765963635707,1.8186090864472382,0.06739601404416826,1.5997808456420899,1.9437397003173829,0.10385671464787191,6.185793489210683e-05,0.04406079672591684,0.0899635832714166
8,70010,70593,584,0.73,2,6.145321343893537,4.7661166568138755,8.430051016088287,24.23425222903173,1.8571856172117465,0.0642472436598652,1.6646720886230468,1.9387336730957032,-0.3077393591054035,2.820992992458947e-14,-0.32030382920313427,2.1240511844367538e-15
9,80220,81152,933,1.16625,8,15.63486968412743,13.83205376587286,13.4142790937444,34.73082300259028,1.7948985677312297,0.07845018764388642,1.510881805419922,1.954275131225586,0.2848016851365367,7.184799909210832e-19,0.2913213919736273,1.0440996304085223e-19
10,83611,84963,1353,1.69125,11,21.448421746582156,19.22066679768989,12.688344669843156,39.787103908891226,1.8096221503732124,0.061200818614604795,1.6691318511962892,1.9108352661132808,0.22710655929325582,2.7502412266590914e-17,0.19943469643544273,1.3259057922565082e-13
11,91241,92284,1044,1.305,11,20.953600063204423,19.300784792651786,16.058008520227887,41.86563876059871,1.823950602542395,0.057694840598802366,1.6571617126464844,1.949453353881836,0.3044615567997833,7.84154632313774e-24,0.33557174849643107,6.791671949661794e-29
12,104551,105463,913,1.14125,9,19.197213086630175,18.299296834059113,16.826975282923804,38.38485212228456,1.885126156091429,0.048773836927144154,1.7237442016601563,1.99586181640625,0.32276653747373496,1.3999659285979774e-23,0.26906687191743406,1.3175507926645155e-16
13,122715,123283,569,0.71125,4,9.890431949122334,8.742790108580063,13.919217572147215,36.981103075346496,1.8150415963573492,0.10240884303028257,1.6642093658447266,2.194076156616211,-0.08010644232433757,0.05617126618996107,0.14615825799098497,0.00046955124605277046
14,133951,135272,1322,1.6525,10,22.501893085624495,19.54676758003658,13.624463856764995,44.68762361512229,1.8724354759828046,0.03903398469974576,1.7440059661865235,1.993619155883789,0.2419506051185637,4.59112843572529e-19,0.21760055438033843,1.2403961472473402e-15
15,140000,140732,733,0.91625,6,12.09461509820733,10.951585605725992,13.218894349159534,32.583122511893656,1.7921077455049645,0.04364679942048207,1.6107406616210938,1.872909927368164,0.12398980814688611,0.0007677778743941287,0.19848699433467462,6.004646267781827e-08
16,162851,163933,1083,1.35375,10,17.310020382591073,14.859485637855256,12.79575131017057,38.41974226723759,1.7602627378201332,0.09309642019452277,1.520294189453125,1.9306747436523441,0.31930320817325747,4.315224695103118e-27,0.31264099044240456,5.519491577541893e-26
17,165489,166513,1025,1.28125,12,22.296812690414917,19.853624293791786,17.406394867960856,45.93338378338753,1.8234877304449313,0.06434271316907196,1.6061746597290039,1.936920166015625,0.45793324724436135,2.846470541237276e-54,0.4999702100381605,6.300123575445234e-66
18,174686,175797,1112,1.39,8,16.240908173905108,13.15877506087719,11.693219153403167,35.219935405057065,1.789860706878223,0.08224694817786937,1.4811761856079102,1.9162212371826168,-0.1013498330254439,0.0007128307040144844,-0.08128110059911822,0.006690013167942214
