bout_idx,start_frame,end_frame,n_frames,duration_ms,mean_speed_mm_s,max_speed_mm_s,dominant_z_freq_hz,dominant_z_period_ms,gait_freq_hz,z_oscillation_std_um,z_oscillation_range_um,total_distance_mm
1,17839,19870,2032,2540.0,11.504944985066038,63.65587408184673,6.25,160.0,5.526481196338168,53.40843334238344,349.2991228825033,29.208170184868266
2,29358,31000,1643,2053.75,11.525333467146822,37.941889024351234,6.25,160.0,5.410210394648695,49.74520542034586,228.40820145332907,23.658644313354344
3,35303,36388,1086,1357.5,10.159713718026163,29.652754783184193,6.25,160.0,5.871131581175574,65.66844925241946,324.81255490297724,13.782670292440429
4,39582,40975,1394,1742.5,12.183045099989444,33.85481445597448,6.25,160.0,7.119613928156208,39.76019180781203,216.07246030131333,21.213476840407573
5,47697,48509,813,1016.2500000000001,13.682656134608525,38.41033279432117,6.25,160.0,6.811132824603726,32.97994201980429,217.18439944873347,13.901948048550302
6,50866,53025,2160,2700.0,8.670154787086572,39.12915710934771,6.25,160.0,5.117763343675733,29.855145140830707,180.31272301349776,23.407860761224242
7,63138,64619,1482,1852.5,11.5614247638611,39.05765963635707,6.25,160.0,6.417302328146622,46.97037040664124,241.32569952412953,21.411144303890445
8,70010,70593,584,730.0,8.430051016088287,24.23425222903173,6.25,160.0,5.077220993005165,40.38139139038043,209.83483719968655,6.145321343893537
9,80220,81152,933,1166.25,13.4142790937444,34.73082300259028,6.25,160.0,7.614901410186489,64.64365104119565,355.15678335562217,15.63486968412743
10,83611,84963,1353,1691.25,12.688344669843156,39.787103908891226,6.25,160.0,7.1821621215600375,37.77266124956945,194.24973345513274,21.448421746582156
11,91241,92284,1044,1305.0,16.058008520227887,41.86563876059871,6.25,160.0,6.825593530386959,35.570075753928336,207.28455011257375,20.953600063204423
12,104551,105463,913,1141.25,16.826975282923804,38.38485212228456,6.25,160.0,8.602406548975209,29.924425297973468,159.12305480687183,19.197213086630175
13,122715,123283,569,711.25,13.919217572147215,36.981103075346496,9.375,106.66666666666667,7.900870592680523,50.70964147675343,314.3026564307714,9.890431949122334
14,133951,135272,1322,1652.5,13.624463856764995,44.68762361512229,6.25,160.0,5.950265854503402,33.989809625286725,197.76916241434827,22.501893085624495
15,140000,140732,733,916.25,13.218894349159534,32.583122511893656,6.25,160.0,8.661734825021302,40.157722700878566,250.98799071667833,12.09461509820733
16,162851,163933,1083,1353.75,12.79575131017057,38.41974226723759,6.25,160.0,6.568721642075683,61.141030845485744,291.8938743519608,17.310020382591073
17,165489,166513,1025,1281.25,17.406394867960856,45.93338378338753,9.375,106.66666666666667,7.6677804834616925,40.53764037116948,256.65794658691345,22.296812690414917
18,174686,175797,1112,1390.0,11.693219153403167,35.219935405057065,6.25,160.0,6.247115738506632,68.30656848250314,374.69150895490833,16.240908173905108
