keypoint,mean_conf,std_conf,min_conf,median_conf,pct_above_85,pct_above_90
WingR_base,0.46021740405167166,0.27938421991170886,0.043076612,0.43153828,4.591236845822121,2.379262210433829
WingL_base,0.4876341434108797,0.24380568534639938,0.039541587,0.42021793,4.72862543541544,2.5936911306402233
T1L_TiTa,0.5104601051271287,0.3039728356343156,0.02175186,0.5211945,6.587681984852403,3.650611094908184
Scutellum,0.5165185478029061,0.26907899272293934,0.03560466,0.5171524,6.115901674526614,4.086622680306474
T1L_FeTi,0.5222616392762806,0.26969084006685784,0.03287877,0.5242513,5.296339300290369,3.2212029664195874
T1R_FeTi,0.5298994548733811,0.24358424782961138,0.034110345,0.51754475,5.002118609091859,3.4128866461592646
WingL_V12,0.5375136739486858,0.32969988965507,0.009139136,0.59433913,10.011024104452014,5.8128763741151825
T2R_FeTi,0.5413092244409882,0.22456307515691656,0.04162767,0.5227958,5.519756259068289,3.6643682968033766
T1L_TaT1,0.5444608840622649,0.3029921548834103,0.0122993095,0.57038254,7.943958662359746,4.8306121587984645
T3L_FeTi,0.5574090609505783,0.23351885874079828,0.04933952,0.52857023,6.2167878217580235,4.560053854859686
T1R_ThxCx,0.5605223114792931,0.22567246656649087,0.038648628,0.5918049,3.920802540129758,1.4175420832805974
T2L_FeTi,0.5710290019145566,0.2524724190608845,0.037893854,0.5168203,7.777221375390017,3.6924329886695686
T2L_Tro,0.5753905361325155,0.20037598672375237,0.055547565,0.56452775,4.648650235064723,2.7565764010792986
T1L_Tro,0.5774334980281081,0.2363563964394592,0.04429927,0.55957484,6.035192756741488,4.36488501730656
EyeR,0.5786347242331897,0.2691043365092007,0.0072483434,0.5883042,8.26074116466637,4.023706410305795
T1R_TiTa,0.5794639967768431,0.2756263046749035,0.023119899,0.64633685,6.918405118412823,4.126610280481832
T3L_TiTa,0.5857720381936635,0.24280131206752523,0.016480023,0.5645107,6.624551285931518,4.554367544743006
T1L_ThxCx,0.5871901186369405,0.20856814181672853,0.03722537,0.5846224,4.7280751473396325,2.2248146904904718
T2R_TiTa,0.5880830062892041,0.26151063817088466,0.030001525,0.6443828,6.028222441114591,3.2023097424835236
T3L_TaT1,0.588619395739641,0.25731771266398357,0.022682471,0.5665824,7.37000819929233,5.833237032920067
EyeL,0.5912431854902436,0.25877553370516254,0.01787695,0.60209817,6.910517655992912,5.142075209705614
T1R_Tro,0.5927958715820046,0.22824226702326816,0.048930354,0.62141293,5.788847128138247,4.154491542989422
T2R_Tro,0.5957279947915233,0.21408249553545994,0.05852395,0.62414134,5.406580344810508,3.4481050830109563
T1L_TaT3,0.6042507701526819,0.2774818366112149,0.019323114,0.6636281,8.896140462865644,5.5302117325086355
T1R_TaT1,0.6079331182806033,0.28885211080359535,0.023321759,0.67674416,9.572994796109096,6.645095374095006
T3L_Tro,0.6101260888789561,0.16923110801510907,0.06327872,0.5951968,4.3630507237205345,1.844198771390156
T3R_FeTi,0.614854530296835,0.24896354669698997,0.045820568,0.56061816,9.814754690747272,8.381621111985456
Abd_A4,0.6164339830463903,0.23910919958709842,0.03258908,0.6258511,7.690275859412403,4.9892785539896805
T2L_TaTip,0.6227698338520673,0.28791546420452585,0.014208478,0.68964654,11.315940561550638,8.571103639421903
T2L_TaT3,0.6256138577681425,0.2876105608592814,0.026291749,0.7123069,11.408205528927727,7.823629003116466
T2R_TaT1,0.6323427179484963,0.26785282770463875,0.0067558093,0.7186761,9.120107709719372,5.234340177082703
T1R_TaT3,0.633049762166348,0.26005102139223407,0.03247336,0.7033246,8.840561367209068,5.356320700553406
T3R_Tro,0.6345455461971549,0.19089962522900214,0.055367574,0.646334,5.3827345281921755,3.2899889758955476
T3R_TiTa,0.6361433286532389,0.24253769186242152,0.045794792,0.6866027,7.7711682065561325,4.691756134336325
WingR_V12,0.636804759693392,0.25328797979579126,0.010198774,0.6670539,10.115578838855473,7.407060929730047
T1L_TaTip,0.6397921759552666,0.2760692036983617,0.016634846,0.71784633,10.276079527632715,7.753375558771684
T3L_TaT3,0.6473378885343619,0.25537004667669455,0.012942805,0.7154892,9.573178225467698,6.028222441114591
Antenna_Base,0.6479415763697707,0.28447543443547585,0.007545938,0.7104129,12.28481443368937,9.588769720948918
T1R_TaTip,0.6579201298669859,0.2528584774733158,0.030716315,0.73531264,9.99066344564713,6.321525985520086
T3R_TaT1,0.660963492514744,0.2654220136306197,0.025851713,0.7060931,11.653634010737955,9.325548591354242
T3L_TaTip,0.6697298978295566,0.25580777114347697,0.011076436,0.75560856,10.939726947056784,7.251696262993677
T2L_TiTa,0.6770711682075291,0.23018015979634454,0.050931394,0.7510858,9.334353200567163,4.857025986437233
T3R_TaT3,0.6782831694972151,0.26324979770459783,0.021752894,0.7554528,12.547668704566842,9.056641151642884
T2L_TaT1,0.6854548275390892,0.26255651428616184,0.03349963,0.7877718,13.283770720638922,9.570793643805866
WingL_V13,0.6896110361935063,0.2938720774359158,0.0076387436,0.8435724,16.41784474172229,14.56906023636707
T2R_TaT3,0.6900709993657583,0.2579865370851394,0.023720156,0.7887671,13.736107518952839,8.466365475659842
Abd_tip,0.7124174026548517,0.2110228680953844,0.04472609,0.74140334,11.60887724723893,8.741509513563683
T3R_TaTip,0.7175061850456589,0.27556921984688854,0.01637218,0.82634157,15.670370105416854,13.385757444021944
T2R_TaTip,0.7304481076382151,0.2630520426590585,0.01616813,0.8398214,15.930656365273887,11.99774748747636
WingR_V13,0.7928409124061082,0.2062681499494354,0.0047257477,0.87932444,19.21660989528018,13.980802283328655
