bout_idx,start_frame,end_frame,n_frames,duration_ms,mean_speed_mm_s,max_speed_mm_s,dominant_z_freq_hz,dominant_z_period_ms,gait_freq_hz,z_oscillation_std_um,z_oscillation_range_um,total_distance_mm
1,13266,13464,199,248.75,26.50568390067905,47.20584162888881,8.080808080808081,123.74999999999999,11.319340629755134,34.856527821723894,132.80557601507238,6.559728789858163
2,43559,44167,609,761.25,6.855934042131769,26.55216561739869,6.25,160.0,5.1565910593359465,30.46124930265328,115.98270184013204,5.195006245081308
3,50586,50784,199,248.75,24.390845633780472,56.199718976898424,8.080808080808081,123.74999999999999,4.0201005025125625,44.13087288680518,192.57018886400346,6.029536149359834
4,79860,80089,230,287.5,25.810099691020735,53.14763209851905,6.956521739130434,143.75000000000003,11.062327961828855,35.77720691534504,170.69300483616124,7.387292610882678
5,107609,107820,212,265.0,23.415042028946772,54.837461587198646,7.547169811320754,132.5,11.883426602555364,25.43913042614763,114.35026387095837,6.194190214077285
6,107949,108079,131,163.75,25.463516141924497,40.46196720804891,12.307692307692307,81.25000000000001,12.378982856121489,32.99760991039393,127.06880053265013,4.137189311163486
7,130478,130597,120,150.0,29.268014275172096,52.500186143556625,13.333333333333334,75.0,6.666666666666667,49.93245028058968,206.65144894611754,4.373026968105617
8,137577,137793,217,271.25,23.24304795733138,54.20525630302142,7.4074074074074066,135.00000000000003,10.91664739310448,23.042066718193443,116.91460486153771,6.28654973477098
9,144833,144959,127,158.75,24.362856872060288,43.712822560911604,12.698412698412698,78.75,6.750920738757812,41.20706375467842,138.95564971891883,3.8438712274571083
10,162274,162718,445,556.25,8.670395293447795,34.66183548120168,7.207207207207206,138.75000000000003,5.387367822302929,52.62130810869022,184.9514030495114,4.811787912748006
11,162727,162943,217,271.25,14.064608655390042,26.353944702432187,7.4074074074074066,135.00000000000003,7.181424331308355,25.171482837911633,101.72005061558842,3.7973317253765666
12,189747,189924,178,222.5,18.090752078636587,34.21296844347169,8.98876404494382,111.24999999999999,9.846884734353326,15.498441128122144,66.12416437284807,4.004058093451046
13,199908,200088,181,226.25,19.74623331208556,41.16521620451546,26.666666666666668,37.5,12.384476075589282,36.48207702038076,138.86339305793348,4.44955334290934
