bout_idx,start_frame,end_frame,n_frames,duration_s,min_cycles,total_distance_mm,net_displacement_mm,mean_speed_mm_s,max_speed_mm_s,scut_z_mean,scut_z_std,scut_z_min,scut_z_max,height_speed_pearson_r,height_speed_pearson_p,height_speed_spearman_r,height_speed_spearman_p
1,8693,8988,296,0.37,2,3.7397430940114003,3.2865968958542733,10.184386979936058,35.564474534403146,1.9941964652087234,0.018098313226591403,1.9334831237792969,2.0317012786865236,-0.1872953151420622,0.0012061915229021817,-0.22763991583724658,7.753268366985416e-05
2,22733,22984,252,0.315,2,5.957564473073578,5.264420087349374,19.06980242296431,42.75704523503231,1.9089574670034741,0.047176729572557856,1.767521858215332,1.97786865234375,0.4204703994468676,3.2328841487040986e-12,0.38865325234977444,1.6366277788681085e-10
3,63233,64081,849,1.06125,11,20.32961726223801,18.599850799177272,19.16727684259461,49.85839284303337,1.8892099859015257,0.05448745540770282,1.722193145751953,2.003042221069336,-0.009926357582134233,0.7727258081111615,-0.024491672474080087,0.47604121484476347
4,86289,86667,379,0.47375,6,11.054485973641002,10.009039181686195,23.41172978606567,45.43976457658425,1.9233626931827112,0.06032229272652751,1.7626358032226563,2.1205230712890626,0.03822071539880959,0.4581532451635473,0.09312497306645828,0.07015660285603531
5,93317,93946,630,0.7875,8,15.165870616460461,14.404152865271065,19.283445579758975,48.687844438797626,1.932012460193937,0.036782604068304844,1.8096000671386718,2.0738651275634767,-0.09499713953787386,0.017075875484370343,0.04740020991547243,0.23481728671426297
6,139790,140571,782,0.9775,11,20.704945309315917,19.499388629905688,21.204134743565113,47.9519455837498,1.9213154443999385,0.043427351491223724,1.7280261993408204,2.0103214263916014,0.18823855451500188,1.139097055408921e-07,0.23681165162707052,1.9825529346833685e-11
7,251413,251528,116,0.145,2,4.069159779996757,3.999308143916449,28.223646010108826,48.174667463214185,1.9428513822884397,0.01494453916487956,1.903759765625,1.968933486938477,0.24485145891107515,0.008072502657312464,0.2322381736793082,0.012121354554432936
8,261481,261651,171,0.21375,3,5.6249977147673444,5.447857524387401,26.406768718903965,46.30136968907099,1.9406691110622116,0.026187410224319838,1.8571353912353519,1.9846603393554687,0.2787055599884289,0.0002231734280904182,0.3088069148288859,3.966026606726881e-05
9,265605,266067,463,0.57875,9,16.5114857113808,15.536283283432667,28.632616039453705,56.215971780263274,1.895718826639987,0.05354633378617446,1.7405412673950196,2.003523254394531,-0.002979081349392758,0.9490267185840143,-0.01041049112193564,0.8232182938633432
10,272286,272706,421,0.52625,7,14.703980509093682,13.988358201429195,27.981361922119902,47.222709941344995,1.9123816737086643,0.04917923453772586,1.792247200012207,1.9964031219482425,0.40234802896654365,8.184798536275983e-18,0.397367328223872,2.2368982304699957e-17
11,292608,292769,162,0.2025,2,5.145581087459384,4.607730561055791,25.6299302447777,52.227354108771706,1.8814305046458302,0.03587834005459697,1.7839914321899415,1.9364006042480468,0.07080874291844193,0.3705765996629322,0.055799046094172404,0.48065087704376325
12,315162,315655,494,0.6175,8,17.63189653356306,16.368796344832628,28.59781433370965,56.295597967201246,1.91691785688825,0.036576558374190424,1.8219028472900392,2.004048156738281,0.11395431495269429,0.011257384274297516,0.11078435381027815,0.01375283159169355
13,319097,319279,183,0.22875,3,5.99848839711105,5.395695687832388,26.40142436334827,52.711255752470656,1.923652304977667,0.0977828373291588,1.7136608123779298,2.048470306396484,0.17070602111154934,0.020864377713531158,0.16319041770306647,0.027293773408955935
