bout_idx,start_frame,end_frame,n_frames,duration_s,min_cycles,total_distance_mm,net_displacement_mm,mean_speed_mm_s,max_speed_mm_s,scut_z_mean,scut_z_std,scut_z_min,scut_z_max,height_speed_pearson_r,height_speed_pearson_p,height_speed_spearman_r,height_speed_spearman_p
1,30045,30510,466,0.5825,3,6.110439669139504,5.70664872658227,10.531994541410674,30.50092222631335,1.8887721994915747,0.04448166976717741,1.8022842407226558,1.9858871459960938,0.569977228781351,1.6902427906342194e-41,0.5605318343070647,6.550103672218813e-40
2,36089,36388,300,0.375,2,3.274792375061365,2.872337141051647,8.794982778426906,29.652754783184193,1.8978589502970378,0.051589274328508794,1.835626602172852,2.044622802734375,-0.43950592771029534,1.33825783435176e-15,-0.39966759626969395,6.216512183150457e-13
3,40209,40975,767,0.95875,6,12.263774834184154,11.670420129364215,12.809685830619063,32.584691695506294,1.88053037078937,0.031978044961117065,1.8054492950439454,1.9561851501464844,-0.19763424900451665,3.4087092921309825e-08,-0.09458427852733971,0.008764775467095722
4,48056,48509,454,0.5675,3,8.969210701979707,8.706710802205563,15.838220578576735,32.36961050228559,1.8837520977473994,0.025156660838283943,1.8231964111328125,1.961861801147461,0.45249201065778,2.6843081585713106e-24,0.45746782619646054,7.307333479184646e-25
5,51711,52620,910,1.1375,7,14.913483960314334,14.149044915124277,13.113347090417967,39.12915710934771,1.8789914424602803,0.03819377323408737,1.811205673217773,1.9854255676269532,0.6985215766567967,4.099152881244525e-134,0.7142488127982184,7.187435154539096e-143
6,80483,80762,280,0.35,3,5.7994485565015825,5.40172862849503,16.610092557354783,34.73082300259028,1.813225236620222,0.025703030524852306,1.7191959381103517,1.86917724609375,0.3338007719371264,1.0305276794774193e-08,0.3277703516312673,1.9541255903814563e-08
7,83745,84084,340,0.425,3,6.336542000849757,6.0510810394798265,14.958819159953576,33.603589471972256,1.7883535559037154,0.052059188673341424,1.6691318511962892,1.8870250701904296,0.44240997531513987,9.987646606322761e-18,0.4344467488101692,4.38113936489246e-17
8,84284,84680,397,0.49625,3,6.912620834262316,6.21220948541007,13.94422581321763,39.787103908891226,1.836283932164574,0.045565630651562265,1.673299789428711,1.8980937957763673,0.031156606684782876,0.5359270233491278,0.15599868647099183,0.0018235590434995165
9,91241,91991,751,0.93875,7,15.06033504544266,14.220794099879543,16.045204901342878,41.86563876059871,1.8469747462063115,0.045015273268285146,1.7591773986816406,1.949453353881836,0.5937986755015122,9.436717421828143e-73,0.6009974063163458,6.22818913344884e-75
10,104551,105378,828,1.035,8,17.57033146221749,16.765819661443622,16.982515862052278,38.38485212228456,1.8815297681928258,0.04952237625067698,1.7237442016601563,1.99586181640625,0.35755301482561613,2.2481817860097133e-26,0.3269355642608774,4.456091725735345e-22
11,133951,134409,459,0.57375,3,9.298733533981347,8.744848634539776,16.228787750171684,44.68762361512229,1.8872325772553489,0.036405624312287076,1.8214359283447266,1.993619155883789,0.6506866746224439,1.3125844068150417e-56,0.67272785765383,8.956989217955857e-62
12,134689,135272,584,0.73,4,11.54782802968274,10.817263704412778,15.822843148478887,39.01699897152891,1.855037479531275,0.04178341903789624,1.7440059661865235,1.944990921020508,0.317917321844225,3.5045070721808477e-15,0.2903405030232616,8.301673587980264e-13
13,140000,140369,370,0.4625,3,6.333381107512878,6.04900117506532,13.730979365887512,30.369134626646595,1.7898878045984217,0.04354540811201418,1.7023677825927734,1.85634765625,0.24219794561752667,2.4365872092380105e-06,0.27685750632440104,6.176207417928048e-08
14,163150,163511,362,0.4525,4,8.814066056555056,7.9432273718755635,19.524913800863164,38.41974226723759,1.8159358830741756,0.0383085225752838,1.7210212707519532,1.8989128112792968,0.4341847885530808,4.4786204886403816e-18,0.4784636175344852,4.1383975179126333e-22
15,165724,166372,649,0.81125,8,15.896421112837285,14.540038535224745,19.62406803914869,45.93338378338753,1.8594395697759738,0.03798521087948617,1.7526596069335938,1.936920166015625,0.33332863975126614,2.63574074516926e-18,0.36262156948254354,1.3350471478272883e-21
