bout_idx,start_frame,end_frame,n_frames,duration_ms,mean_speed_mm_s,max_speed_mm_s,dominant_z_freq_hz,dominant_z_period_ms,gait_freq_hz,z_oscillation_std_um,z_oscillation_range_um,total_distance_mm
1,30045,30510,466,582.5,10.531994541410674,30.50092222631335,6.866952789699571,145.625,6.576961719326612,41.28484145802089,174.95946698578769,6.110439669139504
2,36089,36388,300,375.0,8.794982778426906,29.652754783184193,5.333333333333333,187.5,5.5058453111094625,36.31817775773283,148.39134397733233,3.274792375061365
3,40209,40975,767,958.75,12.809685830619063,32.584691695506294,6.25,160.0,6.278803054610577,25.04156071600209,111.3527241328922,12.263774834184154
4,48056,48509,454,567.5,15.838220578576735,32.36961050228559,14.09691629955947,70.9375,7.487665200828256,23.92189478630735,123.08681232851538,8.969210701979707
5,51711,52620,910,1137.5,13.113347090417967,39.12915710934771,15.625,64.0,6.961570615188195,24.039111353425497,128.85040578543206,14.913483960314334
6,80483,80762,280,350.0,16.610092557354783,34.73082300259028,5.7142857142857135,175.00000000000003,8.425724489106013,32.67207015313911,127.93025939779756,5.7994485565015825
7,83745,84084,340,425.0,14.958819159953576,33.603589471972256,9.411764705882353,106.25,7.825495871625188,29.27444783970785,134.76313265179485,6.336542000849757
8,84284,84680,397,496.25,13.94422581321763,39.787103908891226,8.080808080808081,123.74999999999999,6.590637174438933,49.29087872368163,195.12634901074688,6.912620834262316
9,91241,91991,751,938.75,16.045204901342878,41.86563876059871,6.25,160.0,6.3700729467287065,28.626969408314483,132.12850708780888,15.06033504544266
10,104551,105378,828,1035.0,16.982515862052278,38.38485212228456,6.25,160.0,7.614364176364179,30.585325609195113,158.60734984949488,17.57033146221749
11,133951,134409,459,573.75,16.228787750171684,44.68762361512229,6.986899563318778,143.125,6.991610270651616,30.87548736004714,146.88496168141162,9.298733533981347
12,134689,135272,584,730.0,15.822843148478887,39.01699897152891,6.25,160.0,8.017349917126772,40.51759950345575,177.47647820062394,11.54782802968274
13,140000,140369,370,462.5,13.730979365887512,30.369134626646595,8.648648648648647,115.62500000000001,8.597834488032431,37.73282189835298,136.06495066870815,6.333381107512878
14,163150,163511,362,452.5,19.524913800863164,38.41974226723759,8.839779005524862,113.125,8.978515907993122,35.37031617051574,144.94417148672545,8.814066056555056
15,165724,166372,649,811.25,19.62406803914869,45.93338378338753,18.75,53.333333333333336,9.798640799450242,32.439950012782866,166.83819257181165,15.896421112837285
